id=00001; nom=Casque audio; categorie=Accessoires; prix=299 DH; stock=83; fournisseur=CasaDigital; ville_stock=Kenitra
id=00028; nom=Webcam HD; categorie=Accessoires; prix=429 DH; stock=219; fournisseur=MaghrebTech; ville_stock=Laayoune
id=00029; nom=Ecran 24 pouces; categorie=Informatique; prix=1690 DH; stock=500; fournisseur=NordInfo; ville_stock=Dakhla
id=00030; nom=Ecran 24 pouces; categorie=Informatique; prix=1624 DH; stock=284; fournisseur=MaghrebTech; ville_stock=Agadir
id=00031; nom=Projecteur; categorie=Bureautique; prix=4845 DH; stock=453; fournisseur=RabatIT; ville_stock=Laayoune
id=00032; nom=Scanner; categorie=Bureautique; prix=1562 DH; stock=123; fournisseur=AtlasCom; ville_stock=Nador
id=00033; nom=Switch 24 ports; categorie=Reseau; prix=2517 DH; stock=6; fournisseur=RabatIT; ville_stock=Rabat
id=00034; nom=Ordinateur portable; categorie=Informatique; prix=9502 DH; stock=236; fournisseur=AtlasCom; ville_stock=Meknes
id=00035; nom=Disque SSD 1To; categorie=Stockage; prix=1092 DH; stock=454; fournisseur=RabatIT; ville_stock=Safi
id=00036; nom=Souris sans fil; categorie=Accessoires; prix=114 DH; stock=193; fournisseur=NordInfo; ville_stock=Agadir
id=00037; nom=Scanner; categorie=Bureautique; prix=1381 DH; stock=345; fournisseur=MaghrebTech; ville_stock=Taza
id=00038; nom=Onduleur; categorie=Bureautique; prix=1585 DH; stock=258; fournisseur=TechMaroc; ville_stock=Safi
id=00039; nom=Tablette graphique; categorie=Informatique; prix=1597 DH; stock=288; fournisseur=MaghrebTech; ville_stock=Tetouan
id=00040; nom=Souris sans fil; categorie=Accessoires; prix=116 DH; stock=286; fournisseur=AtlasCom; ville_stock=Mohammedia
id=00041; nom=Scanner; categorie=Bureautique; prix=1569 DH; stock=304; fournisseur=MaghrebTech; ville_stock=El Jadida
id=00042; nom=Projecteur; categorie=Bureautique; prix=5847 DH; stock=440; fournisseur=CasaDigital; ville_stock=Taza
id=00043; nom=Disque SSD 1To; categorie=Stockage; prix=1161 DH; stock=326; fournisseur=RabatIT; ville_stock=Rabat
id=00044; nom=Souris sans fil; categorie=Accessoires; prix=132 DH; stock=221; fournisseur=MaghrebTech; ville_stock=Kenitra
id=00045; nom=Clavier mecanique; categorie=Accessoires; prix=478 DH; stock=282; fournisseur=NordInfo; ville_stock=Agadir
id=00046; nom=Scanner; categorie=Bureautique; prix=1418 DH; stock=307; fournisseur=AtlasCom; ville_stock=Safi
id=00047; nom=Disque SSD 1To; categorie=Stockage; prix=1242 DH; stock=140; fournisseur=TechMaroc; ville_stock=Tetouan
id=00048; nom=Imprimante laser; categorie=Bureautique; prix=2333 DH; stock=159; fournisseur=NordInfo; ville_stock=El Jadida
id=00049; nom=Switch 24 ports; categorie=Reseau; prix=2515 DH; stock=34; fournisseur=RabatIT; ville_stock=Agadir
id=00050; nom=Clavier mecanique; categorie=Accessoires; prix=481 DH; stock=301; fournisseur=CasaDigital; ville_stock=Taza
id=00051; nom=Tablette graphique; categorie=Informatique; prix=1430 DH; stock=383; fournisseur=MaghrebTech; ville_stock=Oujda
id=00052; nom=Serveur NAS; categorie=Stockage; prix=4985 DH; stock=483; fournisseur=MaghrebTech; ville_stock=Rabat
id=00053; nom=Tablette graphique; categorie=Informatique; prix=1483 DH; stock=477; fournisseur=RabatIT; ville_stock=Laayoune
id=00054; nom=Scanner; categorie=Bureautique; prix=1314 DH; stock=53; fournisseur=AtlasCom; ville_stock=Beni Mellal
id=00055; nom=Imprimante laser; categorie=Bureautique; prix=1852 DH; stock=455; fournisseur=AtlasCom; ville_stock=Safi
id=00056; nom=Tablette graphique; categorie=Informatique; prix=1741 DH; stock=225; fournisseur=MaghrebTech; ville_stock=Oujda
id=00057; nom=Routeur WiFi; categorie=Reseau; prix=810 DH; stock=62; fournisseur=MaghrebTech; ville_stock=Rabat
id=00058; nom=Scanner; categorie=Bureautique; prix=1199 DH; stock=75; fournisseur=AtlasCom; ville_stock=Marrakech
id=00059; nom=Souris sans fil; categorie=Accessoires; prix=122 DH; stock=72; fournisseur=NordInfo; ville_stock=Tetouan
id=00060; nom=Clavier mecanique; categorie=Accessoires; prix=385 DH; stock=491; fournisseur=AtlasCom; ville_stock=Taza
id=00061; nom=Casque audio; categorie=Accessoires; prix=326 DH; stock=373; fournisseur=NordInfo; ville_stock=El Jadida
id=00062; nom=Souris sans fil; categorie=Accessoires; prix=134 DH; stock=71; fournisseur=NordInfo; ville_stock=Rabat
id=00063; nom=Serveur NAS; categorie=Stockage; prix=7396 DH; stock=47; fournisseur=TechMaroc; ville_stock=Tetouan
id=00064; nom=Onduleur; categorie=Bureautique; prix=1796 DH; stock=365; fournisseur=MaghrebTech; ville_stock=Taza
id=00065; nom=Onduleur; categorie=Bureautique; prix=1746 DH; stock=93; fournisseur=MaghrebTech; ville_stock=Errachidia
id=00066; nom=Disque SSD 1To; categorie=Stockage; prix=1296 DH; stock=129; fournisseur=MaghrebTech; ville_stock=Casablanca
id=00067; nom=Tablette graphique; categorie=Informatique; prix=1641 DH; stock=75; fournisseur=RabatIT; ville_stock=Marrakech
id=00068; nom=Casque audio; categorie=Accessoires; prix=287 DH; stock=305; fournisseur=AtlasCom; ville_stock=Meknes
id=00069; nom=Projecteur; categorie=Bureautique; prix=5193 DH; stock=480; fournisseur=MaghrebTech; ville_stock=Meknes
id=00070; nom=Ecran 24 pouces; categorie=Informatique; prix=1664 DH; stock=279; fournisseur=TechMaroc; ville_stock=Agadir
id=00071; nom=Serveur NAS; categorie=Stockage; prix=5828 DH; stock=492; fournisseur=CasaDigital; ville_stock=Errachidia
id=00072; nom=Ecran 24 pouces; categorie=Informatique; prix=2246 DH; stock=356; fournisseur=RabatIT; ville_stock=Rabat
id=00073; nom=Disque SSD 1To; categorie=Stockage; prix=1120 DH; stock=461; fournisseur=AtlasCom; ville_stock=El Jadida
id=00074; nom=Imprimante laser; categorie=Bureautique; prix=2244 DH; stock=94; fournisseur=NordInfo; ville_stock=Safi
id=00075; nom=Ordinateur portable; categorie=Informatique; prix=9235 DH; stock=383; fournisseur=MaghrebTech; ville_stock=Nador
id=00076; nom=Clavier mecanique; categorie=Accessoires; prix=427 DH; stock=344; fournisseur=NordInfo; ville_stock=Dakhla
id=00077; nom=Disque SSD 1To; categorie=Stockage; prix=1370 DH; stock=13; fournisseur=RabatIT; ville_stock=Laayoune
id=00078; nom=Projecteur; categorie=Bureautique; prix=5566 DH; stock=32; fournisseur=CasaDigital; ville_stock=Nador
id=00079; nom=Routeur WiFi; categorie=Reseau; prix=802 DH; stock=104; fournisseur=RabatIT; ville_stock=Kenitra
id=00080; nom=Webcam HD; categorie=Accessoires; prix=494 DH; stock=478; fournisseur=MaghrebTech; ville_stock=Oujda
id=00081; nom=Clavier mecanique; categorie=Accessoires; prix=513 DH; stock=36; fournisseur=TechMaroc; ville_stock=Dakhla
id=00082; nom=Disque SSD 1To; categorie=Stockage; prix=1197 DH; stock=15; fournisseur=TechMaroc; ville_stock=Mohammedia
id=00083; nom=Casque audio; categorie=Accessoires; prix=376 DH; stock=434; fournisseur=AtlasCom; ville_stock=Mohammedia
id=00084; nom=Switch 24 ports; categorie=Reseau; prix=1805 DH; stock=345; fournisseur=MaghrebTech; ville_stock=Oujda
id=00085; nom=Casque audio; categorie=Accessoires; prix=386 DH; stock=316; fournisseur=RabatIT; ville_stock=Taza
id=00086; nom=Ecran 24 pouces; categorie=Informatique; prix=1502 DH; stock=156; fournisseur=NordInfo; ville_stock=Rabat
id=00087; nom=Scanner; categorie=Bureautique; prix=1232 DH; stock=110; fournisseur=AtlasCom; ville_stock=Meknes
id=00088; nom=Switch 24 ports; categorie=Reseau; prix=2508 DH; stock=136; fournisseur=RabatIT; ville_stock=Settat
id=00089; nom=Disque SSD 1To; categorie=Stockage; prix=1248 DH; stock=433; fournisseur=MaghrebTech; ville_stock=Dakhla
id=00090; nom=Souris sans fil; categorie=Accessoires; prix=126 DH; stock=99; fournisseur=AtlasCom; ville_stock=Taza
id=00091; nom=Casque audio; categorie=Accessoires; prix=301 DH; stock=500; fournisseur=MaghrebTech; ville_stock=Tetouan
id=00092; nom=Scanner; categorie=Bureautique; prix=1583 DH; stock=331; fournisseur=AtlasCom; ville_stock=Agadir
id=00093; nom=Onduleur; categorie=Bureautique; prix=1595 DH; stock=85; fournisseur=RabatIT; ville_stock=Dakhla
id=00094; nom=Switch 24 ports; categorie=Reseau; prix=2495 DH; stock=73; fournisseur=MaghrebTech; ville_stock=Settat
id=00095; nom=Switch 24 ports; categorie=Reseau; prix=2218 DH; stock=211; fournisseur=NordInfo; ville_stock=Laayoune
id=00096; nom=Webcam HD; categorie=Accessoires; prix=378 DH; stock=25; fournisseur=RabatIT; ville_stock=Marrakech
id=00097; nom=Imprimante laser; categorie=Bureautique; prix=2114 DH; stock=61; fournisseur=NordInfo; ville_stock=Safi
id=00098; nom=Serveur NAS; categorie=Stockage; prix=5827 DH; stock=141; fournisseur=CasaDigital; ville_stock=Errachidia
id=00099; nom=Scanner; categorie=Bureautique; prix=1291 DH; stock=385; fournisseur=RabatIT; ville_stock=Kenitra
id=00100; nom=Ecran 24 pouces; categorie=Informatique; prix=1498 DH; stock=76; fournisseur=RabatIT; ville_stock=Kenitra
id=00101; nom=Ecran 24 pouces; categorie=Informatique; prix=1643 DH; stock=37; fournisseur=TechMaroc; ville_stock=Safi
id=00102; nom=Ecran 24 pouces; categorie=Informatique; prix=2189 DH; stock=326; fournisseur=MaghrebTech; ville_stock=Taza
id=00103; nom=Ordinateur portable; categorie=Informatique; prix=6995 DH; stock=94; fournisseur=AtlasCom; ville_stock=Errachidia
id=00104; nom=Disque SSD 1To; categorie=Stockage; prix=1058 DH; stock=334; fournisseur=CasaDigital; ville_stock=Tetouan
id=00105; nom=Clavier mecanique; categorie=Accessoires; prix=377 DH; stock=482; fournisseur=CasaDigital; ville_stock=Beni Mellal
id=00106; nom=Clavier mecanique; categorie=Accessoires; prix=372 DH; stock=459; fournisseur=MaghrebTech; ville_stock=Errachidia
id=00107; nom=Switch 24 ports; categorie=Reseau; prix=2037 DH; stock=489; fournisseur=TechMaroc; ville_stock=Nador
id=00108; nom=Tablette graphique; categorie=Informatique; prix=1818 DH; stock=247; fournisseur=AtlasCom; ville_stock=Dakhla
id=00109; nom=Disque SSD 1To; categorie=Stockage; prix=915 DH; stock=294; fournisseur=TechMaroc; ville_stock=Settat
id=00110; nom=Onduleur; categorie=Bureautique; prix=1670 DH; stock=281; fournisseur=RabatIT; ville_stock=Beni Mellal
id=00111; nom=Disque SSD 1To; categorie=Stockage; prix=1192 DH; stock=322; fournisseur=NordInfo; ville_stock=Dakhla
id=00112; nom=Imprimante laser; categorie=Bureautique; prix=2310 DH; stock=86; fournisseur=TechMaroc; ville_stock=Beni Mellal
id=00113; nom=Clavier mecanique; categorie=Accessoires; prix=431 DH; stock=205; fournisseur=MaghrebTech; ville_stock=Kenitra
id=00114; nom=Onduleur; categorie=Bureautique; prix=1176 DH; stock=427; fournisseur=NordInfo; ville_stock=Kenitra
id=00115; nom=Ecran 24 pouces; categorie=Informatique; prix=2178 DH; stock=38; fournisseur=CasaDigital; ville_stock=Beni Mellal
id=00116; nom=Ecran 24 pouces; categorie=Informatique; prix=2191 DH; stock=189; fournisseur=CasaDigital; ville_stock=Rabat
id=00117; nom=Ecran 24 pouces; categorie=Informatique; prix=1985 DH; stock=436; fournisseur=MaghrebTech; ville_stock=Kenitra
id=00118; nom=Imprimante laser; categorie=Bureautique; prix=2762 DH; stock=186; fournisseur=TechMaroc; ville_stock=Dakhla
id=00119; nom=Casque audio; categorie=Accessoires; prix=290 DH; stock=65; fournisseur=CasaDigital; ville_stock=Fes
id=00120; nom=Disque SSD 1To; categorie=Stockage; prix=1282 DH; stock=74; fournisseur=CasaDigital; ville_stock=Dakhla
id=00121; nom=Casque audio; categorie=Accessoires; prix=420 DH; stock=90; fournisseur=CasaDigital; ville_stock=Kenitra
id=00122; nom=Routeur WiFi; categorie=Reseau; prix=719 DH; stock=284; fournisseur=TechMaroc; ville_stock=Beni Mellal
id=00123; nom=Disque SSD 1To; categorie=Stockage; prix=1154 DH; stock=84; fournisseur=AtlasCom; ville_stock=Rabat
id=00124; nom=Clavier mecanique; categorie=Accessoires; prix=559 DH; stock=383; fournisseur=MaghrebTech; ville_stock=Oujda
id=00125; nom=Scanner; categorie=Bureautique; prix=1471 DH; stock=103; fournisseur=AtlasCom; ville_stock=Beni Mellal
id=00126; nom=Ecran 24 pouces; categorie=Informatique; prix=2111 DH; stock=64; fournisseur=RabatIT; ville_stock=Meknes
id=00127; nom=Casque audio; categorie=Accessoires; prix=315 DH; stock=166; fournisseur=NordInfo; ville_stock=Oujda
id=00128; nom=Switch 24 ports; categorie=Reseau; prix=2413 DH; stock=5; fournisseur=MaghrebTech; ville_stock=Rabat
id=00129; nom=Projecteur; categorie=Bureautique; prix=4864 DH; stock=176; fournisseur=NordInfo; ville_stock=Meknes
id=00130; nom=Souris sans fil; categorie=Accessoires; prix=105 DH; stock=173; fournisseur=CasaDigital; ville_stock=Taza
id=00131; nom=Projecteur; categorie=Bureautique; prix=4774 DH; stock=63; fournisseur=AtlasCom; ville_stock=Nador
id=00132; nom=Ecran 24 pouces; categorie=Informatique; prix=2146 DH; stock=273; fournisseur=MaghrebTech; ville_stock=Agadir
id=00133; nom=Projecteur; categorie=Bureautique; prix=4920 DH; stock=492; fournisseur=MaghrebTech; ville_stock=Casablanca
id=00134; nom=Imprimante laser; categorie=Bureautique; prix=1974 DH; stock=0; fournisseur=RabatIT; ville_stock=Meknes
id=00135; nom=Imprimante laser; categorie=Bureautique; prix=2557 DH; stock=209; fournisseur=CasaDigital; ville_stock=Mohammedia
id=00136; nom=Ordinateur portable; categorie=Informatique; prix=9045 DH; stock=31; fournisseur=TechMaroc; ville_stock=Beni Mellal
id=00137; nom=Webcam HD; categorie=Accessoires; prix=433 DH; stock=152; fournisseur=CasaDigital; ville_stock=Taza
id=00138; nom=Souris sans fil; categorie=Accessoires; prix=98 DH; stock=452; fournisseur=AtlasCom; ville_stock=Safi
id=00139; nom=Scanner; categorie=Bureautique; prix=1577 DH; stock=183; fournisseur=RabatIT; ville_stock=Taza
id=00140; nom=Ecran 24 pouces; categorie=Informatique; prix=1568 DH; stock=44; fournisseur=MaghrebTech; ville_stock=Fes
id=00141; nom=Ecran 24 pouces; categorie=Informatique; prix=1909 DH; stock=58; fournisseur=NordInfo; ville_stock=Kenitra
id=00142; nom=Ecran 24 pouces; categorie=Informatique; prix=2065 DH; stock=39; fournisseur=NordInfo; ville_stock=Settat
id=00143; nom=Ecran 24 pouces; categorie=Informatique; prix=2107 DH; stock=421; fournisseur=CasaDigital; ville_stock=Oujda
id=00144; nom=Casque audio; categorie=Accessoires; prix=291 DH; stock=98; fournisseur=MaghrebTech; ville_stock=Oujda
id=00145; nom=Imprimante laser; categorie=Bureautique; prix=2870 DH; stock=225; fournisseur=NordInfo; ville_stock=Safi
id=00146; nom=Projecteur; categorie=Bureautique; prix=4765 DH; stock=368; fournisseur=TechMaroc; ville_stock=Dakhla
id=00147; nom=Disque SSD 1To; categorie=Stockage; prix=1048 DH; stock=342; fournisseur=TechMaroc; ville_stock=Kenitra
id=00148; nom=Disque SSD 1To; categorie=Stockage; prix=1365 DH; stock=396; fournisseur=TechMaroc; ville_stock=Tetouan
id=00149; nom=Souris sans fil; categorie=Accessoires; prix=112 DH; stock=496; fournisseur=NordInfo; ville_stock=Agadir
id=00150; nom=Souris sans fil; categorie=Accessoires; prix=126 DH; stock=43; fournisseur=NordInfo; ville_stock=Tanger
id=00151; nom=Projecteur; categorie=Bureautique; prix=5577 DH; stock=257; fournisseur=TechMaroc; ville_stock=Settat
id=00152; nom=Ecran 24 pouces; categorie=Informatique; prix=2225 DH; stock=170; fournisseur=TechMaroc; ville_stock=Tetouan
id=00153; nom=Routeur WiFi; categorie=Reseau; prix=921 DH; stock=494; fournisseur=TechMaroc; ville_stock=El Jadida
id=00154; nom=Serveur NAS; categorie=Stockage; prix=7120 DH; stock=173; fournisseur=TechMaroc; ville_stock=Settat
id=00155; nom=Onduleur; categorie=Bureautique; prix=1310 DH; stock=218; fournisseur=AtlasCom; ville_stock=Dakhla
id=00156; nom=Casque audio; categorie=Accessoires; prix=412 DH; stock=440; fournisseur=MaghrebTech; ville_stock=Agadir
id=00157; nom=Projecteur; categorie=Bureautique; prix=5260 DH; stock=468; fournisseur=MaghrebTech; ville_stock=Kenitra
id=00158; nom=Switch 24 ports; categorie=Reseau; prix=2463 DH; stock=150; fournisseur=MaghrebTech; ville_stock=Rabat
id=00159; nom=Clavier mecanique; categorie=Accessoires; prix=384 DH; stock=342; fournisseur=CasaDigital; ville_stock=Rabat
id=00160; nom=Casque audio; categorie=Accessoires; prix=395 DH; stock=41; fournisseur=AtlasCom; ville_stock=Rabat
id=00161; nom=Ecran 24 pouces; categorie=Informatique; prix=1456 DH; stock=6; fournisseur=CasaDigital; ville_stock=Safi
id=00162; nom=Onduleur; categorie=Bureautique; prix=1462 DH; stock=11; fournisseur=TechMaroc; ville_stock=Dakhla
id=00163; nom=Switch 24 ports; categorie=Reseau; prix=2065 DH; stock=463; fournisseur=MaghrebTech; ville_stock=Nador
id=00164; nom=Switch 24 ports; categorie=Reseau; prix=2499 DH; stock=455; fournisseur=TechMaroc; ville_stock=Oujda
id=00165; nom=Ecran 24 pouces; categorie=Informatique; prix=2027 DH; stock=114; fournisseur=AtlasCom; ville_stock=Casablanca
id=00166; nom=Webcam HD; categorie=Accessoires; prix=471 DH; stock=53; fournisseur=CasaDigital; ville_stock=Oujda
id=00167; nom=Tablette graphique; categorie=Informatique; prix=1530 DH; stock=494; fournisseur=CasaDigital; ville_stock=Tanger
id=00168; nom=Imprimante laser; categorie=Bureautique; prix=2125 DH; stock=433; fournisseur=MaghrebTech; ville_stock=Tanger
id=00169; nom=Serveur NAS; categorie=Stockage; prix=7476 DH; stock=29; fournisseur=MaghrebTech; ville_stock=Nador
id=00170; nom=Clavier mecanique; categorie=Accessoires; prix=411 DH; stock=492; fournisseur=CasaDigital; ville_stock=Mohammedia
id=00171; nom=Souris sans fil; categorie=Accessoires; prix=105 DH; stock=40; fournisseur=MaghrebTech; ville_stock=Marrakech
id=00172; nom=Tablette graphique; categorie=Informatique; prix=1524 DH; stock=336; fournisseur=RabatIT; ville_stock=Fes
id=00173; nom=Scanner; categorie=Bureautique; prix=1386 DH; stock=33; fournisseur=CasaDigital; ville_stock=Nador
id=00174; nom=Clavier mecanique; categorie=Accessoires; prix=379 DH; stock=374; fournisseur=MaghrebTech; ville_stock=Meknes
id=00175; nom=Onduleur; categorie=Bureautique; prix=1382 DH; stock=44; fournisseur=AtlasCom; ville_stock=Casablanca
id=00176; nom=Imprimante laser; categorie=Bureautique; prix=2294 DH; stock=305; fournisseur=TechMaroc; ville_stock=Settat
id=00177; nom=Routeur WiFi; categorie=Reseau; prix=676 DH; stock=128; fournisseur=CasaDigital; ville_stock=Taza
id=00178; nom=Disque SSD 1To; categorie=Stockage; prix=1015 DH; stock=469; fournisseur=CasaDigital; ville_stock=El Jadida
id=00179; nom=Casque audio; categorie=Accessoires; prix=353 DH; stock=78; fournisseur=RabatIT; ville_stock=Nador
id=00180; nom=Casque audio; categorie=Accessoires; prix=417 DH; stock=192; fournisseur=RabatIT; ville_stock=Casablanca
id=00181; nom=Projecteur; categorie=Bureautique; prix=4768 DH; stock=157; fournisseur=AtlasCom; ville_stock=Agadir
id=00182; nom=Clavier mecanique; categorie=Accessoires; prix=561 DH; stock=410; fournisseur=CasaDigital; ville_stock=Safi
id=00183; nom=Ecran 24 pouces; categorie=Informatique; prix=2004 DH; stock=83; fournisseur=TechMaroc; ville_stock=Oujda
id=00184; nom=Disque SSD 1To; categorie=Stockage; prix=998 DH; stock=150; fournisseur=CasaDigital; ville_stock=Agadir
id=00185; nom=Routeur WiFi; categorie=Reseau; prix=917 DH; stock=445; fournisseur=RabatIT; ville_stock=Errachidia
id=00186; nom=Projecteur; categorie=Bureautique; prix=5668 DH; stock=73; fournisseur=AtlasCom; ville_stock=Mohammedia
id=00187; nom=Ecran 24 pouces; categorie=Informatique; prix=2049 DH; stock=236; fournisseur=RabatIT; ville_stock=Beni Mellal
id=00188; nom=Routeur WiFi; categorie=Reseau; prix=843 DH; stock=155; fournisseur=RabatIT; ville_stock=El Jadida
id=00189; nom=Scanner; categorie=Bureautique; prix=1531 DH; stock=379; fournisseur=AtlasCom; ville_stock=Marrakech
id=00190; nom=Ordinateur portable; categorie=Informatique; prix=10215 DH; stock=388; fournisseur=RabatIT; ville_stock=Casablanca
id=00191; nom=Ecran 24 pouces; categorie=Informatique; prix=2073 DH; stock=342; fournisseur=AtlasCom; ville_stock=Casablanca
id=00192; nom=Casque audio; categorie=Accessoires; prix=287 DH; stock=158; fournisseur=MaghrebTech; ville_stock=Taza
id=00193; nom=Onduleur; categorie=Bureautique; prix=1505 DH; stock=169; fournisseur=NordInfo; ville_stock=Rabat
id=00194; nom=Projecteur; categorie=Bureautique; prix=4932 DH; stock=53; fournisseur=CasaDigital; ville_stock=Beni Mellal
id=00195; nom=Souris sans fil; categorie=Accessoires; prix=146 DH; stock=90; fournisseur=MaghrebTech; ville_stock=Safi
id=00196; nom=Scanner; categorie=Bureautique; prix=1178 DH; stock=298; fournisseur=AtlasCom; ville_stock=Tanger
id=00197; nom=Clavier mecanique; categorie=Accessoires; prix=394 DH; stock=280; fournisseur=TechMaroc; ville_stock=Dakhla
id=00198; nom=Serveur NAS; categorie=Stockage; prix=7114 DH; stock=275; fournisseur=AtlasCom; ville_stock=Safi
id=00199; nom=Scanner; categorie=Bureautique; prix=1147 DH; stock=445; fournisseur=AtlasCom; ville_stock=El Jadida
id=00200; nom=Switch 24 ports; categorie=Reseau; prix=1683 DH; stock=258; fournisseur=NordInfo; ville_stock=Nador
id=00201; nom=Webcam HD; categorie=Accessoires; prix=440 DH; stock=466; fournisseur=NordInfo; ville_stock=Errachidia
id=00202; nom=Serveur NAS; categorie=Stockage; prix=6960 DH; stock=77; fournisseur=NordInfo; ville_stock=Fes
id=00203; nom=Clavier mecanique; categorie=Accessoires; prix=515 DH; stock=283; fournisseur=CasaDigital; ville_stock=Meknes
id=00204; nom=Switch 24 ports; categorie=Reseau; prix=1821 DH; stock=31; fournisseur=RabatIT; ville_stock=Agadir
id=00205; nom=Ecran 24 pouces; categorie=Informatique; prix=1512 DH; stock=459; fournisseur=AtlasCom; ville_stock=Casablanca
id=00206; nom=Imprimante laser; categorie=Bureautique; prix=2438 DH; stock=496; fournisseur=NordInfo; ville_stock=Taza
id=00207; nom=Imprimante laser; categorie=Bureautique; prix=2830 DH; stock=292; fournisseur=NordInfo; ville_stock=Laayoune
id=00208; nom=Switch 24 ports; categorie=Reseau; prix=2099 DH; stock=88; fournisseur=RabatIT; ville_stock=Errachidia
id=00209; nom=Imprimante laser; categorie=Bureautique; prix=2736 DH; stock=326; fournisseur=CasaDigital; ville_stock=Agadir
id=00210; nom=Disque SSD 1To; categorie=Stockage; prix=1101 DH; stock=234; fournisseur=NordInfo; ville_stock=El Jadida
id=00211; nom=Webcam HD; categorie=Accessoires; prix=521 DH; stock=230; fournisseur=MaghrebTech; ville_stock=Taza
id=00212; nom=Projecteur; categorie=Bureautique; prix=4922 DH; stock=254; fournisseur=AtlasCom; ville_stock=Settat
id=00213; nom=Scanner; categorie=Bureautique; prix=1409 DH; stock=498; fournisseur=RabatIT; ville_stock=Agadir
id=00214; nom=Scanner; categorie=Bureautique; prix=1050 DH; stock=435; fournisseur=MaghrebTech; ville_stock=Dakhla
id=00215; nom=Imprimante laser; categorie=Bureautique; prix=2743 DH; stock=397; fournisseur=AtlasCom; ville_stock=Meknes
id=00216; nom=Ecran 24 pouces; categorie=Informatique; prix=1602 DH; stock=477; fournisseur=RabatIT; ville_stock=Settat
id=00217; nom=Scanner; categorie=Bureautique; prix=1338 DH; stock=340; fournisseur=NordInfo; ville_stock=Nador
id=00218; nom=Tablette graphique; categorie=Informatique; prix=1430 DH; stock=36; fournisseur=RabatIT; ville_stock=Kenitra
id=00219; nom=Clavier mecanique; categorie=Accessoires; prix=427 DH; stock=208; fournisseur=NordInfo; ville_stock=Dakhla
